name	price
Tigerino macskaalom	4945
Super Benek Corn Cat Natural macskaalom	3990
Cat's Best Original macskaalom	5990
Sanicat csomósodó macskaalom	4590
Biokat´s Diamond Care Fresh macskaalom	6290
Bio-Catsil macskaalom	2690
Catsan Hygiene plus macskaalom	8090
Hullám macskabútor	1790
Cosma kaparófotel	2590
Relax macskabútor	3390
zooplus Basics kaparófa, medium	13790
Penelope kaparófa	17990
Olga kaparóoszlop	6390
Nox kaparófa	23090
Enio kaparófa	3090
Natural Paradise pótalkatrészek	7290
3in1 kaparódeszka	3190
Cat Lounge kaparóbútor	2490
Modern Living falra szerelhető macskabútor	18890
Patchwork kaparószőnyeg	2390
Fluffy 2in1 fekhely	2590
Cosy Cord puha fekhely	6290
Relax radiátorra akasztható macskaágy	3490
Tollas játékpálca	290
zooplus Basics macskamentás labda	390
Trixie japán minikivi rúd rojtokkal	690
Leo macskapeca	590
Trixie plüss egérke macskamentával	1290
TIAKI rugószett	1390
Snackball jutalomfalatos labda macskajáték	390
Zizegő labdák	690
Trixie Catch the Light LED lézeres macskajáték	1290
Macska etetőtál csúszásgátló aljzattal	690
Trixie kétszínű kerámiatál	990
Catit PIXI macska itatókút, fehér	15290
zooplus Basics vízadagoló	2090
Karlie macskahám készlet kiscicáknak	990
TIAKI hálós macska hordozó táska	11490
flexi Cat New Classic köteles macskapóráz	2690
